country,Years,Fertility Rate,Income
India,1901,5.72,871
India,1902,5.72,878
India,1903,5.72,877
India,1904,5.72,856
India,1905,5.72,875
India,1906,5.72,817
India,1907,5.72,824
India,1908,5.71,931
India,1909,5.71,927
India,1910,5.71,919
India,1911,5.71,917
India,1912,5.71,895
India,1913,5.7,943
India,1914,5.7,919
India,1915,5.7,945
India,1916,5.71,927
India,1917,5.72,808
India,1918,5.73,919
India,1919,5.74,845
India,1920,5.76,904
India,1921,5.77,933
India,1922,5.78,893
India,1923,5.79,928
India,1924,5.8,929
India,1925,5.81,949
India,1926,5.82,940
India,1927,5.83,940
India,1928,5.85,969
India,1929,5.86,966
India,1930,5.87,946
India,1931,5.88,944
India,1932,5.89,931
India,1933,5.91,927
India,1934,5.92,906
India,1935,5.93,928
India,1936,5.93,900
India,1937,5.93,890
India,1938,5.93,897
India,1939,5.92,913
India,1940,5.92,919
India,1941,5.92,904
India,1942,5.92,929
India,1943,5.92,909
India,1944,5.92,884
India,1945,5.92,828
India,1946,5.91,822
India,1947,5.91,821
India,1948,5.9,831
India,1949,5.9,824
India,1950,5.9,829
India,1951,5.9,838
India,1952,5.9,874
India,1953,5.9,894
India,1954,5.9,899
India,1955,5.9,933
India,1956,5.9,904
India,1957,5.9,952
India,1958,5.9,954
India,1959,5.91,1000
India,1960,5.9,1010
India,1961,5.89,1020
India,1962,5.88,1050
India,1963,5.86,1110
India,1964,5.83,1040
India,1965,5.79,1030
India,1966,5.75,1100
India,1967,5.7,1100
India,1968,5.65,1160
India,1969,5.59,1190
India,1970,5.52,1180
India,1971,5.44,1150
India,1972,5.36,1180
India,1973,5.28,1170
India,1974,5.19,1250
India,1975,5.11,1240
India,1976,5.03,1310
India,1977,4.96,1360
India,1978,4.89,1260
India,1979,4.83,1330
India,1980,4.77,1390
India,1981,4.7,1400
India,1982,4.64,1490
India,1983,4.56,1520
India,1984,4.48,1550
India,1985,4.4,1590
India,1986,4.31,1620
India,1987,4.22,1760
India,1988,4.13,1840
India,1989,4.05,1910
India,1990,3.96,1890
India,1991,3.88,1950
India,1992,3.8,2000
India,1993,3.72,2100
India,1994,3.65,2210
India,1995,3.58,2330
India,1996,3.51,2380
India,1997,3.45,2490
India,1998,3.38,2660
India,1999,3.31,2710
India,2000,3.24,2790
India,2001,3.18,2850
India,2002,3.11,3020
India,2003,3.04,3210
India,2004,2.97,3410
India,2005,2.9,3630
India,2006,2.82,3850
India,2007,2.75,3910
India,2008,2.67,4160
India,2009,2.6,4450
India,2010,2.53,4630
India,2011,2.48,4820
India,2012,2.43,5070
India,2013,2.38,5380
India,2014,2.35,5740
India,2015,2.33,6150
India,2016,2.3,6520
India,2017,2.28,6900
India,2018,2.26,7230
India,2019,2.24,7630
India,2020,2.22,8100
India,2021,2.2,8590
India,2022,2.18,9100
India,2023,2.16,9650
India,2024,2.14,10200
India,2025,2.12,10700
India,2026,2.11,11200
India,2027,2.09,11700
India,2028,2.07,12100
India,2029,2.06,12400
India,2030,2.04,12800
India,2031,2.03,13100
India,2032,2.01,13300
India,2033,2,13600
India,2034,1.99,13900
India,2035,1.97,14200
India,2036,1.96,14500
India,2037,1.95,14800
India,2038,1.94,15100
India,2039,1.93,15400
India,2040,1.92,0
India,2041,1.91,0
India,2042,1.9,0
India,2043,1.89,0
India,2044,1.88,0
India,2045,1.87,0
India,2046,1.86,0
India,2047,1.86,0
India,2048,1.85,0
India,2049,1.84,0
India,2050,1.84,0
India,2051,1.83,0
India,2052,1.83,0
India,2053,1.82,0
India,2054,1.82,0
India,2055,1.81,0
India,2056,1.81,0
India,2057,1.8,0
India,2058,1.8,0
India,2059,1.8,0
India,2060,1.79,0
India,2061,1.79,0
India,2062,1.79,0
India,2063,1.79,0
India,2064,1.78,0
India,2065,1.78,0
India,2066,1.78,0
India,2067,1.78,0
India,2068,1.78,0
India,2069,1.78,0
India,2070,1.77,0
India,2071,1.77,0
India,2072,1.77,0
India,2073,1.77,0
India,2074,1.77,0
India,2075,1.77,0
India,2076,1.77,0
India,2077,1.77,0
India,2078,1.77,0
India,2079,1.77,0
India,2080,1.77,0
India,2081,1.77,0
India,2082,1.77,0
India,2083,1.77,0
India,2084,1.77,0
India,2085,1.77,0
India,2086,1.77,0
India,2087,1.77,0
India,2088,1.77,0
India,2089,1.77,0
India,2090,1.77,0
India,2091,1.77,0
India,2092,1.77,0
India,2093,1.77,0
India,2094,1.77,0
India,2095,1.77,0
India,2096,1.78,0
India,2097,1.78,0
India,2098,1.78,0
India,2099,1.78,0
Ireland,1900,2.92,4900
Ireland,1901,3.08,4950
Ireland,1902,3.09,5000
